Date,Team,Acquired,Relinquished,Notes
2002-03-23,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-03-23,Nuggets,, Tim Hardaway Sr.,fractured bone in left foot (out for season)
2002-03-23,Spurs,, Steve Smith (Delano),sprained right ankle (DNP)
2002-03-24,Bucks,, Tim Thomas,sprained right knee (DNP)
2002-03-24,Hornets,, Elden Campbell,pulled right hamstring (DNP)
2002-03-24,Kings,, Mateen Cleaves,strained right plantar fasciaitis (DNP)
2002-03-24,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-03-24,Knicks,, Othella Harrington,sprained right ankle (DNP)
2002-03-24,Magic,, Tracy McGrady,back spasms (DNP)
2002-03-24,Pacers,, Brad Miller,sore left groin (DNP)
2002-03-24,Raptors,, Chris Childs,bruised hip (DNP)
2002-03-24,Raptors,, Vince Carter,sore left quadriceps (DNP)
2002-03-24,Rockets,, Eddie Griffin,sprained left middle toe (DNP)
2002-03-25,Blazers,, Rasheed Wallace,strained lower back (DNP)
2002-03-25,Cavaliers,, Lamond Murray,back spasms (DNP)
2002-03-25,Cavaliers,, Tyrone Hill,sinus infection (DNP)
2002-03-25,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-03-25,Knicks,, Allan Houston,sprained left ankle (DNP)
2002-03-25,Nuggets,, Tim Hardaway Sr.,fractured bone in left foot (DNP)
2002-03-25,Raptors,, Vince Carter,arthroscopic surgery on left knee (out for season) (date approximate)
2002-03-25,Sonics,, Art Long,strained right hamstring (DNP)
2002-03-25,Spurs,, Steve Smith (Delano),sprained right ankle (DNP)
2002-03-26,Bucks,, Ray Allen,sore left knee (DNP)
2002-03-26,Bucks,, Sam Cassell,sprained left big toe (DNP)
2002-03-26,Bulls,, Jamal Crawford,sore left knee (DNP)
2002-03-26,Cavaliers,, Lamond Murray,back spasms (DNP)
2002-03-26,Cavaliers,, Tyrone Hill,sinus infection (DNP)
2002-03-26,Cavaliers,, Wesley Person,back spasms (DNP)
2002-03-26,Cavaliers,, Zydrunas Ilgauskas,back spasms (DNP)
2002-03-26,Jazz,, Donyell Marshall,strained left calf (DNP)
2002-03-26,Kings,, Hidayet Turkoglu / Hedo Turkoglu,food poisoning (DNP)
2002-03-26,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-03-26,Mavericks,, Adrian Griffin,sprained left ankle (DNP)
2002-03-26,Mavericks,, Wang Zhizhi / Wang Zhi-Zhi,sprained left ankle (DNP)
2002-03-26,Nuggets,, Carlos Arroyo,flu (DNP)
2002-03-26,Nuggets,, Tim Hardaway Sr.,fractured bone in left foot (DNP)
2002-03-26,Rockets,, Eddie Griffin,sprained left middle toe (DNP)
2002-03-26,Wizards,, Tyronn Lue,sinus infection (DNP)
2002-03-27,Grizzlies,, Brevin Knight,sore left foot (DNP)
2002-03-27,Hornets,, Elden Campbell,strained right hamstring (DNP)
2002-03-27,Knicks,, Allan Houston,sprained left ankle (DNP)
2002-03-27,Knicks,, Othella Harrington,sprained right ankle (DNP)
2002-03-27,Raptors,, Dell Curry,bulging disc in lower back (out indefinitely)
2002-03-27,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-03-27,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-03-28,76ers,, Derrick Coleman,hyperextended left knee (DNP)
2002-03-28,Bucks,, Ray Allen,stomach virus (DNP)
2002-03-28,Cavaliers,, Tyrone Hill,sinus infection (DNP)
2002-03-28,Cavaliers,, Wesley Person,back spasms (DNP)
2002-03-28,Cavaliers,, Zydrunas Ilgauskas,back spasms (DNP)
2002-03-28,Jazz,, Donyell Marshall,strained left calf (DNP)
2002-03-28,Kings,, Lawrence Funderburke,back spasms (DNP)
2002-03-28,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-03-28,Knicks,, Othella Harrington,sprained right ankle (DNP)
2002-03-28,Mavericks,, Adrian Griffin,sprained left ankle (DNP)
2002-03-28,Nuggets,, Tim Hardaway Sr.,fractured bone in left foot (DNP)
2002-03-28,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-03-28,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-03-29,Blazers,, Rasheed Wallace,strained lower back (DNP)
2002-03-29,Bucks,, Ray Allen,stomach virus (DNP)
2002-03-29,Jazz,, Donyell Marshall,strained left calf (DNP)
2002-03-29,Kings,, Lawrence Funderburke,back spasms (DNP)
2002-03-29,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-03-29,Knicks,, Allan Houston,sprained left ankle (DNP)
2002-03-29,Mavericks,, Adrian Griffin,sprained left ankle (DNP)
2002-03-29,Rockets,, Eddie Griffin,sprained left middle toe (DNP)
2002-03-29,Rockets,, Terence Morris,ingrown toenail (DNP)
2002-03-29,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-03-30,Blazers,, Rasheed Wallace,strained lower back (DNP)
2002-03-30,Cavaliers,, Wesley Person,back spasms (DNP)
2002-03-30,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-03-30,Nuggets,, George McCloud,bruised left thigh (DNP)
2002-03-30,Nuggets,, Tim Hardaway Sr.,fractured bone in left foot (DNP)
2002-03-30,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-03-31,76ers,, Craig Claxton / Speedy Claxton,mild concussion (DNP)
2002-03-31,Bucks,, Ray Allen,stomach virus (DNP)
2002-03-31,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-03-31,Knicks,, Allan Houston,sprained left ankle (DNP)
2002-03-31,Magic,, Horace Grant,left knee tendinitis (DNP)
2002-03-31,Mavericks,, Johnny Newman,strained right hamstring (DNP)
2002-03-31,Nuggets,, George McCloud,bruised left thigh (DNP)
2002-03-31,Pacers,, Ron Mercer,sore back (DNP)
2002-03-31,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-03-31,Raptors,, Vince Carter,strained left quadriceps (DNP)
2002-04-02,Bucks,, Ray Allen,left knee tendinitis (DNP)
2002-04-02,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-02,Grizzlies,, Lorenzen Wright,back spasms (DNP)
2002-04-02,Hornets,, Lee Nailon,flu (DNP)
2002-04-02,Kings,, Predrag Stojakovic / Peja Stojakovic,strained right hamstring (DNP)
2002-04-02,Knicks,, Allan Houston,sprained left ankle (DNP)
2002-04-02,Knicks,, Othella Harrington,sprained right ankle (DNP)
2002-04-02,Pacers,, Ron Mercer,back spasms (DNP)
2002-04-02,Raptors,, Tracy Murray,arthroscopic surgery on right hip to repair cartilage damage and shave bone spurs (out for season)
2002-04-02,Rockets,, Eddie Griffin,sprained left middle toe (DNP)
2002-04-02,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-02,Wizards,, Ronald Jones / Popeye Jones,back spasms (DNP)
2002-04-03,Bucks,, Ray Allen,left knee tendinitis (DNP)
2002-04-03,Bulls,, Trenton Hassell,lower back spasms (DNP)
2002-04-03,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-03,Grizzlies,, Lorenzen Wright,back spasms (DNP)
2002-04-03,Hornets,, Lee Nailon,flu (DNP)
2002-04-03,Lakers,, Shaquille O'Neal,sprained right wrist (DNP)
2002-04-03,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-04-03,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-03,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-04,Knicks,, Lavor Postell,bruised left ankle (DNP)
2002-04-04,Pacers,, Ron Mercer,back spasms (DNP)
2002-04-05,76ers,, Craig Claxton / Speedy Claxton,mild concussion (DNP)
2002-04-05,Bulls,, Eddie Robinson,strained left groin (DNP)
2002-04-05,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-05,Grizzlies,, Lorenzen Wright,back spasms (DNP)
2002-04-05,Jazz,, Karl Malone,sore right knee (DNP)
2002-04-05,Lakers,, Shaquille O'Neal,sprained right wrist (DNP)
2002-04-05,Magic,, Mike Miller,sprained left ankle (DNP)
2002-04-05,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-04-05,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-05,Rockets,, Kelvin Cato,sprained left wrist (DNP)
2002-04-05,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-05,Wizards,, Christian Laettner,back spasms (DNP)
2002-04-06,Blazers,, Bonzi Wells,sore left knee (DNP)
2002-04-06,Bulls,, Charles Oakley,sore back (DNP)
2002-04-06,Bulls,, Eddie Robinson,pulled left groin (DNP)
2002-04-06,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-06,Grizzlies,, Grant Long,strained groin (DNP)
2002-04-06,Mavericks,, Adrian Griffin,sprained right ankle (DNP)
2002-04-06,Wizards,, Christian Laettner,back spasms (DNP)
2002-04-07,76ers,, Craig Claxton / Speedy Claxton,mild concussion (DNP)
2002-04-07,Knicks,, Lavor Postell,bruised left ankle (DNP)
2002-04-07,Raptors,, Dell Curry,bulging disc in lower back (DNP)
2002-04-07,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-08,Bulls,, Charles Oakley,sore back (DNP)
2002-04-08,Bulls,, Eddie Robinson,strained left groin (DNP)
2002-04-08,Celtics,, Tony Delk,sore left abductor muscle (DNP)
2002-04-08,Clippers,, Lamar Odom,surgery on right wrist (out 3 months)
2002-04-08,Hawks,, Alan Henderson,sore right knee (DNP)
2002-04-08,Magic,, Mike Miller,sprained left ankle (DNP)
2002-04-08,Pacers,, Ron Artest / Metta World Peace,sore left heel (DNP)
2002-04-08,Pistons,, Ben Wallace,sprained right ankle (DNP)
2002-04-08,Rockets,, Cuttino Mobley,flu (DNP)
2002-04-08,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-09,76ers,, Craig Claxton / Speedy Claxton,mild concussion (DNP)
2002-04-09,Hawks,, Alan Henderson,sore right knee (DNP)
2002-04-09,Knicks,, Lavor Postell,bruised left ankle (DNP)
2002-04-09,Magic,, Mike Miller,sprained left ankle (DNP)
2002-04-09,Mavericks,, Dirk Nowitzki,sprained left ankle (DNP)
2002-04-09,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-09,Rockets,, Oscar Torres,bruised right thigh (DNP)
2002-04-09,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-10,76ers,, Craig Claxton / Speedy Claxton,mild concussion (DNP)
2002-04-10,76ers,, Derrick Coleman,hyperextended left knee (DNP)
2002-04-10,Bulls,, Charles Oakley,sore right shoulder (DNP)
2002-04-10,Bulls,, Eddie Robinson,pulled left groin (DNP)
2002-04-10,Heat,, Chris Gatling,mild consussion (DNP)
2002-04-10,Pistons,, Ben Wallace,sprained right ankle (DNP)
2002-04-10,Raptors,, Chris Childs,strained right heel (DNP)
2002-04-10,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-11,Bulls,, Charles Oakley,sore right shoulder (DNP)
2002-04-11,Bulls,, Eddie Robinson,pulled left groin (DNP)
2002-04-11,Bulls,, Marcus Fizer,sprained left ankle (DNP)
2002-04-11,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-11,Grizzlies,, Grant Long,strained groin (DNP)
2002-04-11,Mavericks,, Dirk Nowitzki,sprained left ankle (DNP)
2002-04-11,Suns,, Iakovos Tsakalidis / Jake Tsakalidis,right knee tendinitis (DNP)
2002-04-12,76ers,, Aaron McKie,right corneal abrasion (DNP)
2002-04-12,Hawks,, Alan Henderson,sore right knee (DNP)
2002-04-12,Raptors,, Chris Childs,sprained right heel (DNP)
2002-04-12,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-12,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-12,Warriors,, Bob Sura,strained lower back (DNP)
2002-04-13,Bulls,, Eddie Robinson,pulled left groin (DNP)
2002-04-13,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-13,Hawks,, Alan Henderson,sore right knee (DNP)
2002-04-13,Mavericks,, Dirk Nowitzki,sprained left ankle (DNP)
2002-04-13,Nuggets,, Juwan Howard,strained right groin (DNP)
2002-04-13,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-13,Spurs,, David Robinson,sore back (DNP)
2002-04-13,Suns,, Iakovos Tsakalidis / Jake Tsakalidis,right knee tendinitis (DNP)
2002-04-13,Warriors,, Bob Sura,strained lower back (DNP)
2002-04-14,76ers,, Aaron McKie,right corneal abrasion (DNP)
2002-04-14,76ers,, Derrick Coleman,hyperextended left knee (DNP)
2002-04-14,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-14,Mavericks,, Dirk Nowitzki,sprained left ankle (DNP)
2002-04-14,Raptors,, Chris Childs,sprained right heel (DNP)
2002-04-14,Raptors,, Eric Montross,flu-like symptoms (DNP)
2002-04-14,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-14,Rockets,, Cuttino Mobley,flu (DNP)
2002-04-14,Rockets,, Dan Langhi,sprained right ankle (DNP)
2002-04-14,Rockets,, Kelvin Cato,strained left knee (DNP)
2002-04-14,Rockets,, Steve Francis,strained right shoulder (DNP)
2002-04-14,Wizards,, Jahidi White,sprained right ankle (DNP)
2002-04-15,76ers,, Dikembe Mutombo,left knee tendinitis (DNP)
2002-04-16,Bucks,, Jason Caffey,surgery on right ankle to remove bone spurs
2002-04-16,Bucks,, Michael Redd,sprained MCL in left knee (DNP)
2002-04-16,Clippers,, Jeff McInnis,bruised left thigh (DNP)
2002-04-16,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-16,Hawks,, Alan Henderson,sore right knee (DNP)
2002-04-16,Heat,, Brian Grant,sprained right elbow (DNP)
2002-04-16,Kings,, Chris Webber,sprained right thumb (DNP)
2002-04-16,Nuggets,, George McCloud,corneal abrasion (DNP)
2002-04-16,Nuggets,, Juwan Howard,strained right groin (DNP)
2002-04-16,Raptors,, Eric Montross,sprained left knee (DNP)
2002-04-16,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-16,Rockets,, Cuttino Mobley,flu (DNP)
2002-04-16,Rockets,, Kevin Willis,right knee tendinitis (DNP)
2002-04-16,Rockets,, Steve Francis,strained right shoulder (DNP)
2002-04-16,Warriors,, Bob Sura,strained lower back (DNP)
2002-04-16,Wizards,, Jahidi White,sprained right ankle (DNP)
2002-04-16,Wizards,, Richard Hamilton,strained right groin (DNP)
2002-04-17,76ers,, Dikembe Mutombo,left knee tendinitis (DNP)
2002-04-17,Bulls,, Eddie Robinson,strained left groin (DNP)
2002-04-17,Cavaliers,, Zydrunas Ilgauskas,DNP
2002-04-17,Grizzlies,, Brevin Knight,plantar fasciaitis in left foot (DNP)
2002-04-17,Hornets,, P.J. Brown,sprained left ankle (DNP)
2002-04-17,Kings,, Chris Webber,sprained right thumb (DNP)
2002-04-17,Kings,, Hidayet Turkoglu / Hedo Turkoglu,sprained left wrist (DNP)
2002-04-17,Magic,, Tracy McGrady,strained lower back (DNP)
2002-04-17,Nets,, Lucious Harris,sore hamstring (DNP)
2002-04-17,Nuggets,, George McCloud,corneal abrasion (DNP)
2002-04-17,Nuggets,, Juwan Howard,strained right groin (DNP)
2002-04-17,Nuggets,, Voshon Lenard,right knee tendinitis (DNP)
2002-04-17,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-17,Raptors,, Vince Carter,recovering from left knee surgery (DNP)
2002-04-17,Raptors, Stan Albeck,,returned to bench
2002-04-17,Rockets,, Cuttino Mobley,flu (DNP)
2002-04-17,Rockets,, Kevin Willis,right knee tendinitis (DNP)
2002-04-17,Rockets,, Steve Francis,strained right shoulder (DNP)
2002-04-17,Sonics,, Rashard Lewis,sprained left ankle (DNP)
2002-04-17,Warriors,, Bob Sura,strained lower back (DNP)
2002-04-17,Warriors,, Chris Mills,infected left fifth toe (DNP)
2002-04-17,Warriors,, Larry Hughes,sprained left ankle (DNP)
2002-04-18,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (out indefinitely)
2002-04-20,Hornets,, Jamal Mashburn,flu-like symptoms (left game)
2002-04-21,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-22,Spurs,, David Robinson,strained lower back (DNP)
2002-04-23,Hornets,, Jamal Mashburn,virus / anemia & B12 deficiency (DNP)
2002-04-24,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-24,Suns,, Stephon Marbury,surgery on left ankle to remove bone spurs
2002-04-25,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-04-26,Hornets,, Jamal Mashburn,virus / anemia & B12 deficiency (DNP)
2002-04-26,Spurs,, David Robinson,strained lower back (DNP)
2002-04-27,Hornets,, Jamal Mashburn,virus / anemia & B12 deficiency (DNP)
2002-04-27,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-27,Spurs,, David Robinson,sore lower back (DNP)
2002-04-28,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-04-28,Mavericks,, Adrian Griffin,back spasms (DNP)
2002-04-29,Raptors,, Eric Montross,sprained left foot (DNP)
2002-04-29,Sonics,, Rashard Lewis,partially dislocated left shoulder (out 3 weeks)
2002-04-30,Hornets,, Jamal Mashburn,virus / anemia & B12 deficiency (DNP)
2002-04-30,Raptors,, Eric Montross,broken left foot (out for season)
2002-05-01,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-01,Sonics,, Rashard Lewis,partially dislocated left shoulder (DNP)
2002-05-01,Spurs,, David Robinson,sore lower back (DNP)
2002-05-02,Raptors,, Eric Montross,stress fracture in left foot (DNP)
2002-05-03,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-03,Sonics,, Rashard Lewis,partially separated left shoulder (DNP)
2002-05-03,Spurs,, Charles Smith (Cornelius),sprained right shoulder (DNP)
2002-05-03,Spurs,, David Robinson,sprained lower back (DNP)
2002-05-04,Kings,, Mateen Cleaves,sprained left ankle (DNP)
2002-05-04,Mavericks,, Adrian Griffin,back spasms (DNP)
2002-05-05,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-05,Hornets,, Jamal Mashburn,viral illness (DNP)
2002-05-05,Pistons,, Zeljko Rebraca,broken right hand (out for season)
2002-05-05,Pistons,, Zeljko Rebraca,broken right hand (DNP)
2002-05-05,Spurs,, Charles Smith (Cornelius),sprained right shoulder (DNP)
2002-05-05,Spurs,, David Robinson,strained lower back (DNP)
2002-05-06,Kings,, Mateen Cleaves,sprained left ankle (DNP)
2002-05-06,Pistons,, Zeljko Rebraca,surgery on broken right hand
2002-05-07,Hornets,, Jamal Mashburn,viral illness (DNP)
2002-05-07,Spurs,, Charles Smith (Cornelius),sprained right shoulder (DNP)
2002-05-07,Spurs,, David Robinson,sore lower back (DNP)
2002-05-08,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-08,Pistons,, Zeljko Rebraca,broken right hand (DNP)
2002-05-09,Hornets,, Jamal Mashburn,viral illness (DNP)
2002-05-10,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-10,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DTD)
2002-05-10,Pistons,, Zeljko Rebraca,broken right hand (DNP)
2002-05-11,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-12,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-12,Hornets,, Jamal Mashburn,viral illness (DNP)
2002-05-12,Pistons,, Zeljko Rebraca,broken right hand (DNP)
2002-05-13,Kings,, Mateen Cleaves,sprained left ankle (DNP)
2002-05-13,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-14,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-14,Pistons,, Zeljko Rebraca,broken right hand (DNP)
2002-05-14,Raptors,, Alvin Williams,arthroscopic surgery on right knee
2002-05-15,Hornets,, Jamal Mashburn,viral illness (DNP)
2002-05-16,Suns,, Stephon Marbury,surgery on right ankle to remove general inflammation
2002-05-18,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-19,Celtics,, Vitaly Potapenko,surgery on left knee to repair partially torn ACL (out 6-8 months)
2002-05-19,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-20,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-21,76ers,, Craig Claxton / Speedy Claxton,arthroscopic surgery on left shoulder
2002-05-21,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-21,Mavericks,, Adrian Griffin,surgery on back to remove herniated disc
2002-05-21,Raptors,, Alvin Williams,arthroscopic surgery on right knee
2002-05-23,Blazers,, Scottie Pippen,minor surgery on right knee
2002-05-24,Jazz,, Donyell Marshall,surgery on right wrist
2002-05-24,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-25,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-26,Kings,, Predrag Stojakovic / Peja Stojakovic,sprained right ankle (DNP)
2002-05-27,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-29,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-30,Rockets,, Steve Francis,surgery on right shoulder to repair lining
2002-05-31,Celtics,, Vitaly Potapenko,partially torn ACL in left knee (DNP)
2002-05-31,Mavericks,, Dirk Nowitzki,surgery on left ankle to remove bone spurs
2002-06-10,76ers,, Derrick Coleman,arthroscopic surgery on left knee
2002-06-11,Celtics,, Eric Williams,arthroscopic surgery on left knee to remove loose particles and surgery on right pinky finger to straighten it
2002-06-18,76ers,, Aaron McKie,arthroscopic surgery on right shoulder (out 3-4 months)
2002-06-18,Raptors,, Alvin Williams,arthroscopic surgery on left knee to remove inflammation and on left ankle to remove bone spurs
2002-06-20,Nets,, Aaron Williams,arthroscopic surgery on both knees to remove debris
2002-06-20,Nets,, Kenyon Martin Sr.,surgery on right wrist to remove bone chips
2002-06-27,Jazz,, Greg Ostertag,surgery to donate kidney to sister
2002-07-10,Rockets,, Bostjan Nachbar,surgery to repair hernia (date approximate)
2002-07-17,Knicks,, Frank Williams,surgery on broken left wrist
2002-07-19,Clippers,, Keyon Dooling,arthroscopic surgery on left ankle (out 6 weeks)
2002-07-21,Jazz,, Curtis Borchardt,stress fracture in right foot (out 4-6 weeks)
2002-07-26,Cavaliers,, Bryant Stith,arthroscopic surgery on right knee
2002-07-30,Cavaliers,, DeSagana Diop,arthroscopic surgery on right knee
2002-08-14,Heat,, Eddie House,broken ring finger on left hand (out 4-6 weeks)
2002-08-19,Jazz,, Curtis Borchardt,surgery on right foot to insert screw (date approximate)
2002-08-19,Jazz,, Raul Lopez,torn ACL in right knee (out for season)
2002-08-20,Nuggets,, Nene / Nene Hilario / Maybyner Hilario,strained left abductor muscle (out 1 month)
2002-08-20,Wizards,, Jahidi White,surgery on left knee to repair quadriceps tendon (out 3 months)
2002-08-26,Clippers,, Lamar Odom,injured ankle (out 12 weeks)
2002-08-26,Magic,, Steven Hunter,torn ACL in right knee (out indefinitely)
2002-08-28,Bucks,, Joel Przybilla,surgery to remove bone spurs from left ankle
2002-09-10,Bulls,, Roger Mason Jr.,right shoulder injury (out indefinitely)
2002-09-11,Lakers,, Shaquille O'Neal,surgery on right big toe (out 6 weeks)
2002-09-12,Bulls,, Roger Mason Jr.,surgery on dislocated right shoulder (out 4 months)
2002-09-12,Heat,, Alonzo Mourning,kidney disorder (out indefinitely)
2002-09-12,Pacers,, Austin Croshere,surgery on right foot to repair stress fracture (out 6-8 weeks)
2002-09-13,Hawks,, DerMarr Johnson,3 cervical vertebrae fractures in his neck (car accident) (out for season)
2002-09-23,Kings,, Mateen Cleaves,surgery on left foot in insert pin
2002-09-26,Clippers,, Elton Brand,arthroscopic surgery on right knee to repair minor tear in lateral knee cartilage (out 3-4 weeks)
2002-09-30,Knicks,, Latrell Sprewell,broken bone in right hand (out indefintely)
2002-09-30,Knicks,, Latrell Sprewell,surgery on right hand to repair fractured bone (out indefinitely)
2002-09-30,Raptors,, Hakeem Olajuwon,back injury (excused from training camp)
2002-10-02,Hornets,, Matt Bullard,degenerative disc disease in lower back
2002-10-03,Raptors,, Eric Montross,stress fracture in left foot (out 4-6 weeks)
2002-10-04,76ers,, Greg Buckner,sprained ligament in right knee (out 4-6 weeks)
2002-10-10,Nuggets,, Marcus Camby,surgery on right hip to repair tear in cartilage that lines the hip
2002-10-12,Celtics,, Kedrick Brown,sprained right ankle (out 4-6 weeks)
2002-10-12,Kings,, Mike Bibby,surgery on right foot to repair stress fracture (out 6-8 weeks)
2002-10-12,Knicks,, Antonio McDyess,fractured left kneecap (out indefinitely)
2002-10-15,Rockets,, Martyn Norris / Moochie Norris,dislocated right pinky finger (out 3 weeks)
2002-10-16,Knicks,, Antonio McDyess,surgery on left knee to repair fractured kneecap (out for season)
2002-10-17,Hornets,, Elden Campbell,arthroscopic surgery on left knee to clean out loose particles
2002-10-20,Pistons,, Don Reid,torn right Achilles tendon (out for season)
2002-10-20,Timberwolves,, Felipe Lopez,torn MCL and ACL in left knee (out for season)
2002-10-22,Raptors,, Lamond Murray,sprained ligament in right mid-foot (out 8-10 weeks)
2002-10-22,Raptors,, Nate Huffman,arthroscopic surgery on right knee (out 4-6 weeks)
2002-10-25,76ers,, Monty Williams,arthroscopic surgery on left knee to repair torn cartilage (out 4-6 weeks)
2002-10-25,76ers,, Samuel Dalembert,arthroscopic surgery on left knee (out 3 months)
2002-10-26,Pacers,, Reggie Miller,deep bone bruise in right ankle (out 2 weeks)
2002-10-28,Raptors,, Lamond Murray,surgery on right mid-foot to repair torn ligament (out 16 weeks)
2002-10-29,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-10-29,76ers,, Greg Buckner,sprained right knee (DNP)
2002-10-29,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-10-29,Hornets,, Bryce Drew,surgery to repair fractured orbital bone of left eye
2002-10-30,76ers,, Derrick Coleman,recovering from surgery on left knee (DNP)
2002-10-30,76ers,, Greg Buckner,sprained right knee (DNP)
2002-10-30,Bucks,, Anthony Mason Sr.,sore left hamstring (DNP)
2002-10-30,Cavaliers,, Chris Mihm,strained left hamstring (DNP)
2002-10-30,Grizzlies,, Stromile Swift,flu (DNP)
2002-10-30,Hawks,, Nazr Mohammed,bone bruise in right foot (DNP)
2002-10-30,Hawks,, Shareef Abdur-Rahim,sore/stiff back (DNP)
2002-10-30,Heat,, Anthony Carter,strep throat (DNP)
2002-10-30,Hornets,, Bryce Drew,fractured orbital wall of left eye (DNP)
2002-10-30,Knicks,, Michael Doleac,strained left hamstring (DNP)
2002-10-30,Magic,, Horace Grant,sore left knee (DNP)
2002-10-30,Pacers,, Jamaal Tinsley,sprained right ankle (DNP)
2002-10-30,Raptors,, Nate Huffman,recovering from surgery on right knee (DNP)
2002-10-30,Rockets,, Glen Rice Sr.,sprained right knee (DNP)
2002-10-30,Rockets,, Kenny Thomas,fractured right thumb (DNP)
2002-10-30,Sonics,, Kenny Anderson,back spasms (DNP)
2002-10-30,Spurs,, Steve Smith (Delano),strained right groin (DNP)
2002-10-30,Timberwolves,, Wally Szczerbiak,left foot injury (DNP)
2002-10-31,Hawks,, Dion Glover,sprained left ankle (DNP)
2002-10-31,Kings,, Chris Webber,lower abdominal strain (DNP)
